Open,High,Low,Close,Adj Close,Volume
2.287167,2.322,2.182333,2.247167,2.089833,15978000
2.1855,2.225,2.114833,2.12,1.971569,12648000
2.1175,2.125,1.957167,1.975667,1.837342,13386000
2.010333,2.063667,1.977,2.0355,1.892985,8574000
2.116667,2.261833,2.1,2.218667,2.063328,13884000
2.245833,2.2525,2.1375,2.224167,2.068443,11070000
2.193667,2.193667,2.055667,2.0905,1.944134,10962000
2.137,2.2135,1.996333,2.028167,1.886166,12708000
1.962,2.056167,1.9335,1.995667,1.855941,9324000
2.034333,2.074833,1.941667,1.947,1.810682,6774000
1.929,2.021,1.903333,2.0135,1.872526,8616000
2.03,2.099,1.997167,2.077167,1.931735,9438000
2.060167,2.1715,2.035667,2.145333,1.995128,9642000
2.151667,2.190833,2.018333,2.185667,2.032639,12336000
2.161167,2.2,2.129333,2.1665,2.014814,9594000
2.164167,2.192667,2.1035,2.189167,2.035894,6576000
2.1,2.125,2.020333,2.063333,1.918869,15486000
2.133333,2.198167,2.029833,2.0325,1.890195,13218000
2.002,2.060667,1.924167,2.038333,1.89562,15474000
1.984333,2.048333,1.908333,1.913,1.779062,10230000
1.932,1.943333,1.806,1.9305,1.795337,14562000
1.9595,2.037833,1.945333,2.034667,1.892211,10800000
2.020333,2.101,2.003833,2.059,1.91484,8946000
2.069167,2.1175,2.052333,2.115333,1.967229,6324000
2.1285,2.1785,2.065167,2.083333,1.937469,11220000
2.047833,2.073833,2.0,2.015167,1.874076,6336000
2.089,2.220833,2.0755,2.219333,2.063948,10446000
2.216333,2.266667,2.153833,2.241667,2.084718,9228000
2.283167,2.35,2.266167,2.349833,2.185311,8820000
2.389,2.419,2.336,2.399833,2.23181,8976000
2.400667,2.4295,2.373667,2.423833,2.254129,5856000
2.416667,2.421667,2.373333,2.4,2.231965,5652000
2.383833,2.443,2.376833,2.422,2.252425,5124000
2.403833,2.468,2.382333,2.465167,2.29257,6198000
2.463167,2.464833,2.3905,2.416167,2.247,5010000
2.4075,2.517333,2.368667,2.514,2.337984,8376000
2.513333,2.518167,2.452333,2.471833,2.298769,5766000
2.505167,2.545833,2.483333,2.522,2.345423,6090000
2.5275,2.544667,2.480667,2.503833,2.328528,4236000
2.558667,2.713167,2.558667,2.711833,2.521966,10602000
2.686167,2.686167,2.55,2.555167,2.376268,11424000
2.534667,2.554333,2.459333,2.551,2.372393,7704000
2.588667,2.597167,2.520833,2.553333,2.374563,5172000
2.521833,2.542667,2.452833,2.476333,2.302953,6402000
2.47,2.514,2.462667,2.498,2.323103,3822000
2.442833,2.462333,2.348,2.357,2.191975,10950000
2.387667,2.4485,2.373167,2.376833,2.21042,5814000
